ResponseId,Q120,MainBranch,Age,Employment,RemoteWork,CodingActivities,EdLevel,LearnCode,LearnCodeOnline,LearnCodeCoursesCert,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,TechList,BuyNewTool,Country,Currency,CompTotal,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSysPersonal use,OpSysProfessional use,OfficeStackAsyncHaveWorkedWith,OfficeStackAsyncWantToWorkWith,OfficeStackSyncHaveWorkedWith,OfficeStackSyncWantToWorkWith,AISearchHaveWorkedWith,AISearchWantToWorkWith,AIDevHaveWorkedWith,AIDevWantToWorkWith,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,SOAI,AISelect,AISent,AIAcc,AIBen,AIToolInterested in Using,AIToolCurrently Using,AIToolNot interested in Using,AINextVery different,AINextNeither different nor similar,AINextSomewhat similar,AINextVery similar,AINextSomewhat different,TBranch,ICorPM,WorkExp,Knowledge_1,Knowledge_2,Knowledge_3,Knowledge_4,Knowledge_5,Knowledge_6,Knowledge_7,Knowledge_8,Frequency_1,Frequency_2,Frequency_3,TimeSearching,TimeAnswering,ProfessionalTech,Industry,SurveyLength,SurveyEase,ConvertedCompYearly
114,I agree,I am a developer by profession,25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Formal documentation provided by the owner of the tech;Video-based Online Courses;Written-based Online Courses;Stack Overflow,Udemy;Coursera,5,4,Other (please specify):,100 to 499 employees,I have some influence,Investigate,Visit developer communities like Stack Overflow,Hungary,HUF	Hungarian forint,,Python,Python,MongoDB;PostgreSQL,MongoDB,,,,,Keras;NumPy;Opencv;Pandas;TensorFlow;Torch/PyTorch,Keras;NumPy;Opencv;Pandas;TensorFlow;Torch/PyTorch,,,PyCharm;Vim;Visual Studio Code,Visual Studio Code,Windows,Ubuntu;Windows,Adobe Workfront;Confluence;GitHub Discussions;Jira,Adobe Workfront;Confluence;GitHub Discussions;Jira,Microsoft Teams;Signal,Microsoft Teams;Signal;Slack,ChatGPT,ChatGPT;Google Bard AI,,,Stack Overflow;Collectives on Stack Overflow,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely","Suggesting similar topics, help to overcome duplicate questions",Yes,Very favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat trust,Writing code;Documenting code;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,,,,,,,,Yes,Individual contributor,3.0,Agree,Neither agree nor disagree,Agree,Agree,Agree,Disagree,Agree,Neither agree nor disagree,1-2 times a week,1-2 times a week,1-2 times a week,15-30 minutes a day,Less than 15 minutes a day,DevOps function;Microservices;AI-assisted technology tool(s),"Information Services, IT, Software Development, or other Technology",Appropriate in length,Neither easy nor difficult,
221,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",25-34 years old,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","On the job training;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Written Tutorials;Stack Overflow,,12,Less than 1 year,Other (please specify):,10 to 19 employees,I have little or no influence,,,Austria,EUR European Euro,,Python,Python,,,,,,,,,,,Notepad++,Notepad++,Windows,Windows,,,Discord;Whatsapp;Zoom,Discord;Whatsapp;Zoom,WolframAlpha,ChatGPT;WolframAlpha,,,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,Neutral,,"No, and I don't plan to",,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
288,I agree,I code primarily as a hobby,45-54 years old,"Not employed, but looking for work",,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Books / Physical media;Friend or family member;Other online resources (e.g., videos, blogs, forum)",Books;Written Tutorials;Stack Overflow,,6,,,,,,Start a free trial;Ask developers I know/work with,Netherlands,,,Python,Python,,,,,,,Qt,Qt,,,PyCharm,PyCharm,Windows,Windows,,,IRC,IRC,,,,,Stack Overflow,Multiple times per day,Yes,A few times per week,Neutral,Use with extreme care,"No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easy,
308,I agree,I am learning to code,18-24 years old,"Student, full-time",,,Some college/university study without earning a degree,"Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Blogs with tips and tricks;Recorded coding sessions;How-to videos;Video-based Online Courses;Stack Overflow;Certification videos,edX;Coursera,3,,,,,Investigate,,Italy,,,Python,Go;Python,,,,,Django,,Keras;NumPy;Opencv;Pandas;Scikit-Learn,Keras;NumPy;Pandas;Scikit-Learn;TensorFlow,,,IntelliJ IDEA;Jupyter Notebook/JupyterLab;RStudio;Visual Studio Code,Goland;Jupyter Notebook/JupyterLab;Visual Studio Code,Windows,Windows,,,Discord;Google Meet,Google Meet,ChatGPT,Bing AI;ChatGPT,,,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",,Yes,Favorable,Increase productivity;Greater efficiency;Improve accuracy in coding,Somewhat trust,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Neither easy nor difficult,
337,I agree,I am learning to code,25-34 years old,"Not employed, but looking for work",,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Books / Physical media;Online Courses or Certification;Other online resources (e.g., videos, blogs, forum)",Blogs with tips and tricks;Books;How-to videos;Video-based Online Courses;Written-based Online Courses;Click to write Choice 20,Other;Coursera,2,,"Engineer, data",,,Given a list,Start a free trial,Morocco,,,Python,APL;Julia;Python,,,,,,,NumPy;Pandas;Torch/PyTorch,JAX;Scikit-Learn,Pip,Ansible;Unreal Engine,IPython;Jupyter Notebook/JupyterLab;Neovim;Vim;Visual Studio Code,PyCharm;RStudio,Other Linux-based;Ubuntu,MacOS,,,Slack,,,,,,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,A few times per month or weekly,Neutral,good,"No, but I plan to soon",Favorable,,Somewhat distrust,,,,,,,,,,,,,,,,,,,,,,,,,,,Too long,Easy,
353,I agree,I am a developer by profession,25-34 years old,"Independent contractor, freelancer, or self-employed",Remote,I don’t code outside of work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Books / Physical media;Online Courses or Certification;On the job training,,Codecademy,10,10,"Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",I have a great deal of influence,Investigate,Start a free trial,"Iran, Islamic Republic of...",USD	United States dollar,30000.0,Python,,PostgreSQL,,,,,,,,,,PyCharm,PyCharm,MacOS,,,,,,,,,,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, definitely",hmmm actually I have no idea on mind right now,"No, and I don't plan to",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,30000.0
418,I agree,I am a developer by profession,18-24 years old,"Not employed, but looking for work",,,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Books / Physical media;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum)",Formal documentation provided by the owner of the tech;Blogs with tips and tricks;How-to videos;Video-based Online Courses;Written-based Online Courses,edX;Udemy,3,,"Developer, QA or test",,,Investigate,Start a free trial;Visit developer communities like Stack Overflow,Slovakia,,,Python,Python,MongoDB;SQLite,,Firebase,,Flask;React,Django,,,Yarn,,PyCharm;Visual Studio Code,PyCharm,Ubuntu,Ubuntu,,,Signal;Telegram,,ChatGPT,ChatGPT,,,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",,"No, but I plan to soon",Very favorable,,Somewhat trust,,,,,,,,,,,,,,,,,,,,,,,,,,,Appropriate in length,Easy,
430,I agree,I code primarily as a hobby,25-34 years old,"Employed, full-time",In-person,Hobby;Bootstrapping a business;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Colleague;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)",Video-based Online Courses;Stack Overflow;Interactive tutorial,,12,,Engineering manager,,,Investigate,Start a free trial;Visit developer communities like Stack Overflow;Read ratings or reviews on third party sites like G2 Crowd,Serbia,,,Python,JavaScript;Kotlin;SQL;TypeScript,MySQL;PostgreSQL;SQLite,,,,,,Apache Kafka,,,,PyCharm;Visual Studio Code,,Ubuntu;Windows,,Clickup,,Discord;Microsoft Teams;Signal;Whatsapp;Zoom,,ChatGPT,,Whispr AI,,Stack Overflow,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,"No, not really",,Yes,Favorable,Increase productivity;Greater efficiency;Speed up learning,Somewhat trust,,Project planning;Writing code,,,,,,,No,,,,,,,,,,,,,,,,,,Too long,Easy,
479,I agree,I am a developer by profession,25-34 years old,"Employed, part-time",Remote,Hobby;Professional development or self-paced learning from online courses;School or academic work,Some college/university study without earning a degree,"Books / Physical media;Online Courses or Certification;On the job training;Other online resources (e.g., videos, blogs, forum);School (i.e., University, College, etc)","Formal documentation provided by the owner of the tech;Blogs with tips and tricks;Online challenges (e.g., daily or weekly coding challenges);Written Tutorials;Stack Overflow",Coursera,8,Less than 1 year,Data scientist or machine learning specialist,2 to 9 employees,I have little or no influence,,Start a free trial;Ask developers I know/work with,Brazil,BRL	Brazilian real,18000.0,Python,Rust,PostgreSQL;SQLite,Redis,Heroku,Amazon Web Services (AWS);Google Cloud,Django,FastAPI;Flask,Keras;NumPy;Opencv;TensorFlow,Keras;NumPy;Opencv;Torch/PyTorch,Docker,Cargo;Docker,Visual Studio Code,Visual Studio Code,Ubuntu,Ubuntu,,,Discord;Whatsapp,Discord;Whatsapp,ChatGPT;Perplexity AI,ChatGPT;Perplexity AI,GitHub Copilot;Tabnine,GitHub Copilot,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",,Yes,Very favorable,Increase productivity;Greater efficiency;Improve accuracy in coding,Somewhat trust,Learning about a codebase;Project planning;Debugging and getting help;Testing code;Committing and reviewing code;Deployment and monitoring;Collaborating with teammates ,Writing code;Documenting code,,,Documenting code,Writing code,,,Yes,,1.0,,,,,,,,,,,,,,,,Appropriate in length,Easy,3652.0
520,I agree,"I am not primarily a developer, but I write code sometimes as part of my work/studies",35-44 years old,"Employed, full-time",Remote,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",,,,20,17,Engineering manager,100 to 499 employees,I have a great deal of influence,Investigate,Start a free trial;Read ratings or reviews on third party sites like G2 Crowd,India,INR	Indian rupee,,Python,Python,Elasticsearch;PostgreSQL,PostgreSQL,Google Cloud,,Django,Django,,,,,Atom,PyCharm,iOS,MacOS,,,Slack;Whatsapp,Slack,ChatGPT,ChatGPT,,,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per week,"Yes, somewhat",,"No, but I plan to soon",Favorable,,Somewhat trust,,,,,,,,,No,,,,,,,,,,,,,,,,,,Too long,Neither easy nor difficult,
